Variável;Descrição
dtReference;Data de referência da safra.
idVendedor;Id do vendedor.
qtdPedidos;Quantidade de pedidos feitos pelo vendedor.
qtdDiasComPedidos;Quantidade de dias distintos em que o vendedor fez pedidos.
qtItens;Quantidade de itens distintos em que q vendedor vendeu.
ticketMedio;Ticket médio do vendedor (Faturamento/Quantidade de vendas)
avgValorProduto;Média dos valores dos produtos vendidos.
maxValorProduto;Valor máximo de venda dos produtos.
minValorProduto;Valor mínimo de venda dos produtos.
avgProdutoPorPedido;Média de número de produtos por pedido.
lifeTimeValue;Receita total do vendedor na plataforma.
qtdDiasPrimeiraVenda;Quantidade de dias desde a primeira venda do vendedor.
qtdRecenciaVenda;Quantidade de dias que o vendedor está sem realizar uma venda.
avgIntervaloVendas;Média do intervalo de dias entre uma venda e a próxima.
avgNota;Média da avaliação recebida por pedido.
minNota;Mínimo da avaliação recebida por pedido.
maxNota;Máximo da avaliação recebida por pedido.
pctAvaliacao;Percentual do total dos pedidos que foram avaliados.
qtdUFsDistintos;Quantidades de Ufs distintos que o vendedor fez vendas.
pctPedidoAC;Percentual do total dos pedidos que foram realizados para o UF AC.
pctPedidoAL;Percentual do total dos pedidos que foram realizados para o UF AL.
pctPedidoAM;Percentual do total dos pedidos que foram realizados para o UF AM.
pctPedidoAP;Percentual do total dos pedidos que foram realizados para o UF AP.
pctPedidoBA;Percentual do total dos pedidos que foram realizados para o UF BA.
pctPedidoCE;Percentual do total dos pedidos que foram realizados para o UF CE.
pctPedidoDF;Percentual do total dos pedidos que foram realizados para o UF DF.
pctPedidoES;Percentual do total dos pedidos que foram realizados para o UF ES.
pctPedidoGO;Percentual do total dos pedidos que foram realizados para o UF GO.
pctPedidoMA;Percentual do total dos pedidos que foram realizados para o UF MA.
pctPedidoMG;Percentual do total dos pedidos que foram realizados para o UF MG.
pctPedidoMS;Percentual do total dos pedidos que foram realizados para o UF MS.
pctPedidoMT;Percentual do total dos pedidos que foram realizados para o UF MT.
pctPedidoPA;Percentual do total dos pedidos que foram realizados para o UF PA.
pctPedidoPB;Percentual do total dos pedidos que foram realizados para o UF PB.
pctPedidoPE;Percentual do total dos pedidos que foram realizados para o UF PE.
pctPedidoPI;Percentual do total dos pedidos que foram realizados para o UF PI.
pctPedidoPR;Percentual do total dos pedidos que foram realizados para o UF PR.
pctPedidoRJ;Percentual do total dos pedidos que foram realizados para o UF RJ.
pctPedidoRN;Percentual do total dos pedidos que foram realizados para o UF RN.
pctPedidoRO;Percentual do total dos pedidos que foram realizados para o UF RO.
pctPedidoRR;Percentual do total dos pedidos que foram realizados para o UF RR.
pctPedidoRS;Percentual do total dos pedidos que foram realizados para o UF RS.
pctPedidoSC;Percentual do total dos pedidos que foram realizados para o UF SC.
pctPedidoSE;Percentual do total dos pedidos que foram realizados para o UF SE.
pctPedidoSP;Percentual do total dos pedidos que foram realizados para o UF SP.
pctPedidoTO;Percentual do total dos pedidos que foram realizados para o UF TO.
pctPedidoCancelado;Percentual do total de pedidos que foram cancelados.
pctPedidosAtrasados;Percentual do total de pedidos que foram entregue com atraso.
avgFrete;Média do frete dos pedidos.
maxFrete;Máximo valor de frete dos pedidos.
